RmsStationId,NodeId,TenantId,TagId,LogType,LogSubType,MobileNumber,LogIntValue,LogFloatValue,ServerTime,LogTime
5447,40,0,0,1,2,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
5888,45,0,0,1,2,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
6428,45,0,0,1,2,1767203926,2,0,1/1/2026 0:00,12/31/2025 23:59
7258,27,9,0,2,1,1767182390,0,1.132264256,1/1/2026 0:00,12/31/2025 23:59
253,27,7,0,2,2,1767055286,0,1425.677368,1/1/2026 0:00,12/31/2025 23:59
493,27,8,0,2,2,1766814818,0,1684.756348,1/1/2026 0:00,12/31/2025 23:59
630,27,8,0,2,2,1767201766,0,1391.121826,1/1/2026 0:00,12/31/2026 23:59
5769,27,8,0,2,2,1767176291,0,1524.978882,1/1/2026 0:00,12/31/2025 23:59
253,27,7,0,2,3,1767055286,0,26.94764328,1/1/2026 0:00,12/31/2025 23:59
493,27,8,0,2,3,1766814818,0,31.29076004,1/1/2026 0:00,12/31/2025 23:59
630,27,8,0,2,3,1767201766,0,27.43021202,1/1/2026 0:00,12/31/2025 23:59
5769,27,8,0,2,3,1767176291,0,29.33508873,1/1/2026 0:00,12/31/2026 23:59
2199,27,8,0,2,4,1767204000,3,4116,1/1/2026 0:00,1/1/2026 0:00
2318,27,9,0,2,4,1767203980,2,1955,1/1/2026 0:00,12/31/2025 23:59
2462,27,9,0,2,4,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
3459,89,25,0,2,4,1767203679,2,1942,1/1/2026 0:00,12/31/2025 23:59
4797,27,7,0,2,4,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
5514,27,7,0,2,4,1767203961,2,0,1/1/2026 0:00,12/31/2025 23:59
5729,27,7,0,2,4,1767203174,2,0,1/1/2026 0:00,1/1/2026 0:00
6222,27,7,0,2,4,1767203963,2,0,1/1/2026 0:00,12/31/2025 23:59
6223,27,7,0,2,4,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
6970,27,7,0,2,4,1767204000,3,0,1/1/2026 0:00,12/31/2025 23:59
2318,27,9,0,2,6,1767203980,0,0.010893678,1/1/2026 0:00,12/31/2025 23:59
3459,89,25,0,2,6,1767203679,0,9.439267963,1/1/2026 0:00,12/31/2025 23:59
5514,27,7,0,2,6,1767203961,0,0.032398097,1/1/2026 0:00,12/31/2025 23:59
5729,27,7,0,2,6,1767203174,0,0.745509923,1/1/2026 0:00,1/1/2026 0:00
6222,27,7,0,2,6,1767203963,0,0.033839852,1/1/2026 0:00,12/31/2026 23:59
2318,27,9,0,2,7,1767203980,0,0.000198391,1/1/2026 0:00,12/31/2025 23:59
3459,89,25,0,2,7,1767203679,0,0.012817104,1/1/2026 0:00,12/31/2025 23:59
5514,27,7,0,2,7,1767203961,0,0.001770115,1/1/2026 0:00,12/31/2025 23:59
5729,27,7,0,2,7,1767203174,0,0.059295885,1/1/2026 0:00,1/1/2026 0:00
6222,27,7,0,2,7,1767203963,0,0.000530149,1/1/2026 0:00,12/31/2025 23:59
1777,42,0,0,4,1,0,0,23.17416191,1/1/2026 0:00,12/31/2025 23:59
1835,42,0,0,4,1,0,0,21.69409943,1/1/2026 0:00,12/31/2025 23:59
5255,42,0,0,4,1,0,0,24.56842613,1/1/2026 0:00,12/31/2025 23:59
1777,35,0,0,5,1,0,0,2976.634216,1/1/2026 0:00,12/31/2025 23:59
1835,35,0,0,5,1,0,0,61.76809692,1/1/2026 0:00,12/31/2025 23:59
5255,35,0,0,5,1,0,0,54.08529663,1/1/2026 0:00,12/31/2025 23:59
1151,39,0,0,6,1,0,0,50.2228775,1/1/2026 0:00,12/31/2025 23:59
3519,90,0,0,6,1,0,0,54.20705795,1/1/2026 0:00,12/31/2025 23:59
5638,39,0,0,6,1,0,0,52.5562439,1/1/2026 0:00,12/31/2025 23:59
